Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,19279,1,THEJO,THEJO-EQ,EQ,,0,
NSE,21431,1,THEINVEST,THEINVEST-BE,BE,,0,
NSE,18118,1,THANGAMAYL,THANGAMAYL-EQ,EQ,,0,
NSE,14607,1,TGBHOTELS,TGBHOTELS-EQ,EQ,,0,
NSE,14323,1,TFL,TFL-BE,BE,,0,
NSE,3466,1,TFCILTD,TFCILTD-EQ,EQ,,0,
NSE,21828,1,TEXRAIL,TEXRAIL-EQ,EQ,,0,
NSE,18214,1,TEXMOPIPES,TEXMOPIPES-EQ,EQ,,0,
NSE,11549,1,TEXINFRA,TEXINFRA-EQ,EQ,,0,
NSE,19292,1,TERASOFT,TERASOFT-EQ,EQ,,0,
NSE,3280,1,TEMBO,TEMBO-BE,BE,,0,
NSE,21131,1,TEJASNET,TEJASNET-EQ,EQ,,0,
NSE,7105,1,TEGA,TEGA-EQ,EQ,,0,
NSE,14739,1,TECILCHEM,TECILCHEM-BE,BE,,0,
NSE,6445,1,TECHNOE,TECHNOE-EQ,EQ,,0,
NSE,13538,1,TECHM,TECHM-EQ,EQ,,0,
NSE,6462,1,TECH,TECH-EQ,EQ,,0,
NSE,12716,1,TEAMLEASE,TEAMLEASE-EQ,EQ,,0,
NSE,25178,1,TDPOWERSYS,TDPOWERSYS-EQ,EQ,,0,
NSE,11536,1,TCS,TCS-EQ,EQ,,0,
NSE,184,1,TCPLPACK,TCPLPACK-EQ,EQ,,0,
NSE,19503,1,TCLCONS,TCLCONS-BE,BE,,0,
NSE,8722,1,TCIFINANCE,TCIFINANCE-BE,BE,,0,
NSE,19223,1,TCIEXP,TCIEXP-EQ,EQ,,0,
NSE,10580,1,TCI,TCI-EQ,EQ,,0,
NSE,27037,1,TBZ,TBZ-EQ,EQ,,0,
NSE,23740,1,TBOTEK,TBOTEK-EQ,EQ,,0,
NSE,5162,1,TATVA,TATVA-EQ,EQ,,0,
NSE,21428,1,TATSILV,TATSILV-EQ,EQ,,0,
NSE,20293,1,TATATECH,TATATECH-EQ,EQ,,0,
NSE,3499,1,TATASTEEL,TATASTEEL-EQ,EQ,,0,
NSE,3426,1,TATAPOWER,TATAPOWER-EQ,EQ,,0,
NSE,3456,1,TATAMOTORS,TATAMOTORS-EQ,EQ,,0,
NSE,1621,1,TATAINVEST,TATAINVEST-EQ,EQ,,0,
NSE,21401,1,TATAGOLD,TATAGOLD-EQ,EQ,,0,
NSE,3411,1,TATAELXSI,TATAELXSI-EQ,EQ,,0,
NSE,3432,1,TATACONSUM,TATACONSUM-EQ,EQ,,0,
NSE,3721,1,TATACOMM,TATACOMM-EQ,EQ,,0,
NSE,3405,1,TATACHEM,TATACHEM-EQ,EQ,,0,
NSE,20092,1,TASTYBITE,TASTYBITE-EQ,EQ,,0,
NSE,6943,1,TARSONS,TARSONS-EQ,EQ,,0,
NSE,14775,1,TARMAT,TARMAT-BE,BE,,0,
NSE,15178,1,TARIL,TARIL-BE,BE,,0,
NSE,1586,1,TARC,TARC-BE,BE,,0,
NSE,18831,1,TARAPUR,TARAPUR-BE,BE,,0,
NSE,23512,1,TARACHAND,TARACHAND-EQ,EQ,,0,
NSE,13976,1,TANLA,TANLA-EQ,EQ,,0,
NSE,13648,1,TALBROAUTO,TALBROAUTO-EQ,EQ,,0,
NSE,14917,1,TAKE,TAKE-EQ,EQ,,0,
NSE,9354,1,TAJGVK,TAJGVK-EQ,EQ,,0,
NSE,8961,1,TAINWALCHM,TAINWALCHM-BE,BE,,0,
NSE,10793,1,SYRMA,SYRMA-EQ,EQ,,0,
NSE,10243,1,SYNGENE,SYNGENE-EQ,EQ,,0,
NSE,11992,1,SYNCOMF,SYNCOMF-EQ,EQ,,0,
NSE,24190,1,SYMPHONY,SYMPHONY-EQ,EQ,,0,
NSE,12489,1,SWSOLAR,SWSOLAR-EQ,EQ,,0,
NSE,11909,1,SWELECTES,SWELECTES-EQ,EQ,,0,
NSE,3384,1,SWARAJENG,SWARAJENG-EQ,EQ,,0,
NSE,27095,1,SWANENERGY,SWANENERGY-EQ,EQ,,0,
NSE,5020,1,SVPGLOB,SVPGLOB-EQ,EQ,,0,
NSE,15126,1,SVLL,SVLL-BE,BE,,0,
NSE,12018,1,SUZLON,SUZLON-EQ,EQ,,0,
NSE,24851,1,SUYOG,SUYOG-EQ,EQ,,0,
NSE,2998,1,SUVIDHAA,SUVIDHAA-EQ,EQ,,0,
NSE,17945,1,SUVENPHAR,SUVENPHAR-EQ,EQ,,0,
NSE,11233,1,SUVEN,SUVEN-EQ,EQ,,0,
NSE,643,1,SUULD,SUULD-BE,BE,,0,
NSE,13801,1,SUTLEJTEX,SUTLEJTEX-EQ,EQ,,0,
NSE,2970,1,SURYODAY,SURYODAY-EQ,EQ,,0,
NSE,3375,1,SURYAROSNI,SURYAROSNI-EQ,EQ,,0,
NSE,11852,1,SURYALAXMI,SURYALAXMI-EQ,EQ,,0,
NSE,11595,1,SURANAT&P,SURANAT&P-BE,BE,,0,
NSE,21081,1,SURANASOL,SURANASOL-BE,BE,,0,
NSE,24970,1,SURAJLTD,SURAJLTD-BE,BE,,0,
NSE,20824,1,SURAJEST,SURAJEST-BE,BE,,0,
NSE,7390,1,SUPRIYA,SUPRIYA-EQ,EQ,,0,
NSE,3363,1,SUPREMEIND,SUPREMEIND-EQ,EQ,,0,
NSE,1401,1,SUPREMEENG,SUPREMEENG-BE,BE,,0,
NSE,11689,1,SUPRAJIT,SUPRAJIT-EQ,EQ,,0,
NSE,8931,1,SUPERSPIN,SUPERSPIN-BE,BE,,0,
NSE,20616,1,SUPERHOUSE,SUPERHOUSE-EQ,EQ,,0,
NSE,13404,1,SUNTV,SUNTV-EQ,EQ,,0,
NSE,17641,1,SUNTECK,SUNTECK-EQ,EQ,,0,
NSE,3351,1,SUNPHARMA,SUNPHARMA-EQ,EQ,,0,
NSE,3348,1,SUNFLAG,SUNFLAG-EQ,EQ,,0,
NSE,3345,1,SUNDRMFAST,SUNDRMFAST-EQ,EQ,,0,
NSE,9848,1,SUNDRMBRAK,SUNDRMBRAK-BE,BE,,0,
